** CoAP Proxy at: coap://localhost:5683
BasicForwardingProxy2 started.
[DBG] 5016201849656 COAP_RECEIVED 33531_9279A5B7
[DBG] 5016206521909 COAP_TRANSLATED 33531_9279A5B7
[DBG] 5016221146249 COAP_RECEIVED 33532_FCC22352
[DBG] 5016221589017 COAP_TRANSLATED 33532_FCC22352
[DBG] 5016293227486 COAP_RECEIVED 33533_DE371EB7
[DBG] 5016293730514 COAP_TRANSLATED 33533_DE371EB7
[DBG] 5016368808925 COAP_RECEIVED 33534_1DE64B5E
[DBG] 5016369170901 COAP_TRANSLATED 33534_1DE64B5E
[DBG] 5016444715902 COAP_RECEIVED 33535_E75FC590
[DBG] 5016445028267 COAP_TRANSLATED 33535_E75FC590
[DBG] 5016520582007 COAP_RECEIVED 33536_676D5B89
[DBG] 5016520883272 COAP_TRANSLATED 33536_676D5B89
[DBG] 5016596530470 COAP_RECEIVED 33537_04CF12A2
[DBG] 5016596816276 COAP_TRANSLATED 33537_04CF12A2
[DBG] 5016668972851 COAP_RECEIVED 33538_CDF195F5
[DBG] 5016669309280 COAP_TRANSLATED 33538_CDF195F5
[DBG] 5016744406282 COAP_RECEIVED 33539_98137EE9
[DBG] 5016744685238 COAP_TRANSLATED 33539_98137EE9
[DBG] 5016820413793 COAP_RECEIVED 33540_5181FD4A
[DBG] 5016820705342 COAP_TRANSLATED 33540_5181FD4A
[DBG] 5016896646994 COAP_RECEIVED 33541_100C70A6
[DBG] 5016896947227 COAP_TRANSLATED 33541_100C70A6
[DBG] 5016972755922 COAP_RECEIVED 33542_1E6A3B3A
[DBG] 5016973111350 COAP_TRANSLATED 33542_1E6A3B3A
[DBG] 5017048490390 COAP_RECEIVED 33543_B8F08DF5
[DBG] 5017048820233 COAP_TRANSLATED 33543_B8F08DF5
[DBG] 5017124558499 COAP_RECEIVED 33544_E72FA689
[DBG] 5017124885287 COAP_TRANSLATED 33544_E72FA689
[DBG] 5017200574085 COAP_RECEIVED 33545_AB59BD3F
[DBG] 5017200986976 COAP_TRANSLATED 33545_AB59BD3F
[DBG] 5017276826058 COAP_RECEIVED 33546_311DDD8D
[DBG] 5017277207030 COAP_TRANSLATED 33546_311DDD8D
[DBG] 5017322373675 HTTP_RECVD_SUCCESS 33532_FCC22352
[DBG] 5017322377163 HTTP_RECVD_SUCCESS 33533_DE371EB7
[DBG] 5017322377269 HTTP_RECVD_SUCCESS 33531_9279A5B7
[DBG] 5017327051091 HTTP_TRANSLATED 33532_FCC22352
[DBG] 5017327053439 HTTP_TRANSLATED 33533_DE371EB7
[DBG] 5017327053402 HTTP_TRANSLATED 33531_9279A5B7
[DBG] 5017352525896 COAP_RECEIVED 33547_B8797B96
[DBG] 5017352837076 COAP_TRANSLATED 33547_B8797B96
[DBG] 5017376491508 HTTP_RECVD_SUCCESS 33534_1DE64B5E
[DBG] 5017376870144 HTTP_TRANSLATED 33534_1DE64B5E
[DBG] 5017428526964 COAP_RECEIVED 33548_BF0CF43B
[DBG] 5017428849777 COAP_TRANSLATED 33548_BF0CF43B
[DBG] 5017450712192 HTTP_RECVD_SUCCESS 33535_E75FC590
[DBG] 5017451049002 HTTP_TRANSLATED 33535_E75FC590
[DBG] 5017504359176 COAP_RECEIVED 33549_79509882
[DBG] 5017504622529 COAP_TRANSLATED 33549_79509882
[DBG] 5017526586058 HTTP_RECVD_SUCCESS 33536_676D5B89
[DBG] 5017526953697 HTTP_TRANSLATED 33536_676D5B89
[DBG] 5017580538840 COAP_RECEIVED 33550_8A7D02A0
[DBG] 5017580828158 COAP_TRANSLATED 33550_8A7D02A0
