** CoAP Proxy at: coap://localhost:5683
BasicForwardingProxy2 started.
[DBG] 3033645542497 COAP_RECEIVED 51314_8A381622
[DBG] 3033651999872 COAP_TRANSLATED 51314_8A381622
[DBG] 3033653022868 COAP_RECEIVED 51315_FA6FDEFC
[DBG] 3033653364749 COAP_TRANSLATED 51315_FA6FDEFC
[DBG] 3033723310127 COAP_RECEIVED 51316_24A098BF
[DBG] 3033723789967 COAP_TRANSLATED 51316_24A098BF
[DBG] 3033791911278 HTTP_RECVD_SUCCESS 51316_24A098BF
[DBG] 3033792346076 HTTP_RECVD_SUCCESS 51315_FA6FDEFC
[DBG] 3033791913603 HTTP_RECVD_SUCCESS 51314_8A381622
[DBG] 3033798096892 HTTP_TRANSLATED 51315_FA6FDEFC
[DBG] 3033798310395 HTTP_TRANSLATED 51314_8A381622
[DBG] 3033799223427 COAP_RECEIVED 51317_F5A8759C
[DBG] 3033799709518 COAP_TRANSLATED 51317_F5A8759C
[DBG] 3033801629095 HTTP_TRANSLATED 51316_24A098BF
[DBG] 3033809769390 HTTP_RECVD_SUCCESS 51317_F5A8759C
[DBG] 3033810691261 HTTP_TRANSLATED 51317_F5A8759C
[DBG] 3033874900699 COAP_RECEIVED 51318_D33B2FF2
[DBG] 3033875343599 COAP_TRANSLATED 51318_D33B2FF2
[DBG] 3033880606270 HTTP_RECVD_SUCCESS 51318_D33B2FF2
[DBG] 3033881190916 HTTP_TRANSLATED 51318_D33B2FF2
[DBG] 3033951172545 COAP_RECEIVED 51319_486FD9BE
[DBG] 3033951606461 COAP_TRANSLATED 51319_486FD9BE
[DBG] 3033955977771 HTTP_RECVD_SUCCESS 51319_486FD9BE
[DBG] 3033956410176 HTTP_TRANSLATED 51319_486FD9BE
[DBG] 3034026719999 COAP_RECEIVED 51320_90397DB5
[DBG] 3034027003290 COAP_TRANSLATED 51320_90397DB5
[DBG] 3034032319614 HTTP_RECVD_SUCCESS 51320_90397DB5
[DBG] 3034032801722 HTTP_TRANSLATED 51320_90397DB5
[DBG] 3034098741031 COAP_RECEIVED 51321_13DBEC1E
[DBG] 3034099183435 COAP_TRANSLATED 51321_13DBEC1E
[DBG] 3034103171027 HTTP_RECVD_SUCCESS 51321_13DBEC1E
[DBG] 3034103568777 HTTP_TRANSLATED 51321_13DBEC1E
[DBG] 3034174567326 COAP_RECEIVED 51322_A17A5C8B
[DBG] 3034174843042 COAP_TRANSLATED 51322_A17A5C8B
[DBG] 3034179868939 HTTP_RECVD_SUCCESS 51322_A17A5C8B
[DBG] 3034180467302 HTTP_TRANSLATED 51322_A17A5C8B
[DBG] 3034250708882 COAP_RECEIVED 51323_F025C910
[DBG] 3034251041579 COAP_TRANSLATED 51323_F025C910
[DBG] 3034255796786 HTTP_RECVD_SUCCESS 51323_F025C910
[DBG] 3034256384868 HTTP_TRANSLATED 51323_F025C910
